Filename                                                                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
magma/src/arch/x86.h                                                                                 2                 2     0.00%           2                 2     0.00%          18                18     0.00%           0                 0         -
magma/src/canary.c                                                                                  22                22     0.00%           3                 3     0.00%          53                53     0.00%          14                14     0.00%
magma/src/storage.c                                                                                 43                43     0.00%           3                 3     0.00%          47                47     0.00%          22                22     0.00%
targets/openssl_5_1/repo/crypto/LPdir_unix.c                                                        26                26     0.00%           2                 2     0.00%          47                47     0.00%          22                22     0.00%
targets/openssl_5_1/repo/crypto/aes/aes_cbc.c                                                        4                 4     0.00%           1                 1     0.00%           8                 8     0.00%           2                 2     0.00%
targets/openssl_5_1/repo/crypto/aes/aes_core.c                                                     238               238     0.00%          18                18     0.00%         484               484     0.00%          34                34     0.00%
targets/openssl_5_1/repo/crypto/aria/aria.c                                                        463               463     0.00%           3                 3     0.00%         225               225     0.00%          36                36     0.00%
targets/openssl_5_1/repo/crypto/asn1/a_bitstr.c                                                    155                87    43.87%           6                 2    66.67%         152                72    52.63%          86                58    32.56%
targets/openssl_5_1/repo/crypto/asn1/a_d2i_fp.c                                                    177                86    51.41%           7                 6    14.29%         179                84    53.07%          68                24    64.71%
targets/openssl_5_1/repo/crypto/asn1/a_digest.c                                                     50                33    34.00%           3                 2    33.33%          49                27    44.90%          18                12    33.33%
targets/openssl_5_1/repo/crypto/asn1/a_dup.c                                                        74                49    33.78%           2                 1    50.00%          59                35    40.68%          30                21    30.00%
targets/openssl_5_1/repo/crypto/asn1/a_gentm.c                                                      34                30    11.76%           6                 5    16.67%          40                36    10.00%          18                17     5.56%
targets/openssl_5_1/repo/crypto/asn1/a_i2d_fp.c                                                     82                68    17.07%           5                 4    20.00%          88                71    19.32%          26                23    11.54%
targets/openssl_5_1/repo/crypto/asn1/a_int.c                                                       408               166    59.31%          33                10    69.70%         411               147    64.23%         178                68    61.80%
targets/openssl_5_1/repo/crypto/asn1/a_mbstr.c                                                     272               117    56.99%          10                 3    70.00%         243                92    62.14%         116                51    56.03%
targets/openssl_5_1/repo/crypto/asn1/a_object.c                                                    368               232    36.96%           9                 3    66.67%         307               183    40.39%         162               108    33.33%
targets/openssl_5_1/repo/crypto/asn1/a_octet.c                                                       3                 2    33.33%           3                 2    33.33%           9                 6    33.33%           0                 0         -
targets/openssl_5_1/repo/crypto/asn1/a_print.c                                                      78                54    30.77%           3                 2    33.33%          72                49    31.94%          52                35    32.69%
targets/openssl_5_1/repo/crypto/asn1/a_sign.c                                                      284               284     0.00%           4                 4     0.00%         211               211     0.00%          96                96     0.00%
