Filename                                                                                        Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
magma/src/arch/x86.h                                                                                  2                 2     0.00%           2                 2     0.00%          18                18     0.00%           0                 0         -
magma/src/canary.c                                                                                   22                22     0.00%           3                 3     0.00%          53                53     0.00%          14                14     0.00%
magma/src/storage.c                                                                                  43                43     0.00%           3                 3     0.00%          47                47     0.00%          22                22     0.00%
targets/openssl_11_4/repo/crypto/LPdir_unix.c                                                        26                26     0.00%           2                 2     0.00%          47                47     0.00%          22                22     0.00%
targets/openssl_11_4/repo/crypto/aes/aes_cbc.c                                                        4                 0   100.00%           1                 0   100.00%           8                 0   100.00%           2                 0   100.00%
targets/openssl_11_4/repo/crypto/aes/aes_core.c                                                     238                 3    98.74%          18                 0   100.00%         484                 3    99.38%          34                 5    85.29%
targets/openssl_11_4/repo/crypto/aria/aria.c                                                        463               106    77.11%           3                 1    66.67%         225                75    66.67%          36                14    61.11%
targets/openssl_11_4/repo/crypto/asn1/a_bitstr.c                                                    155                96    38.06%           6                 4    33.33%         152                83    45.39%          86                62    27.91%
targets/openssl_11_4/repo/crypto/asn1/a_d2i_fp.c                                                    177               116    34.46%           7                 6    14.29%         179               105    41.34%          68                42    38.24%
targets/openssl_11_4/repo/crypto/asn1/a_digest.c                                                     50                33    34.00%           3                 2    33.33%          49                27    44.90%          18                12    33.33%
targets/openssl_11_4/repo/crypto/asn1/a_dup.c                                                        74                74     0.00%           2                 2     0.00%          59                59     0.00%          30                30     0.00%
targets/openssl_11_4/repo/crypto/asn1/a_gentm.c                                                      34                34     0.00%           6                 6     0.00%          40                40     0.00%          18                18     0.00%
targets/openssl_11_4/repo/crypto/asn1/a_i2d_fp.c                                                     82                82     0.00%           5                 5     0.00%          88                88     0.00%          26                26     0.00%
targets/openssl_11_4/repo/crypto/asn1/a_int.c                                                       408               297    27.21%          33                22    33.33%         411               284    30.90%         178               125    29.78%
targets/openssl_11_4/repo/crypto/asn1/a_mbstr.c                                                     272               117    56.99%          10                 3    70.00%         243                92    62.14%         116                51    56.03%
targets/openssl_11_4/repo/crypto/asn1/a_object.c                                                    368               272    26.09%           9                 6    33.33%         307               225    26.71%         162               127    21.60%
targets/openssl_11_4/repo/crypto/asn1/a_octet.c                                                       3                 3     0.00%           3                 3     0.00%           9                 9     0.00%           0                 0         -
targets/openssl_11_4/repo/crypto/asn1/a_print.c                                                      78                78     0.00%           3                 3     0.00%          72                72     0.00%          52                52     0.00%
targets/openssl_11_4/repo/crypto/asn1/a_sign.c                                                      284               284     0.00%           4                 4     0.00%         211               211     0.00%          96                96     0.00%
