fuzzer,library,fuzz_target,execs_done,execs_per_sec,unique_crashes,execs_since_crash,findings_path,runtime,calculated_exec_speed
aflplusplus,libpng,libpng_read_fuzzer,177025826,2048.96,0,177025826,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/libpng/libpng_read_fuzzer/0/findings/default,86398,2048.957452718813
aflplusplus,libsndfile,sndfile_fuzzer,65639174,759.77,0,65639174,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/libsndfile/sndfile_fuzzer/0/findings/default,86393,759.7742178185732
aflplusplus,libtiff,tiff_read_rgba_fuzzer,103670117,1199.92,0,103670117,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/libtiff/tiff_read_rgba_fuzzer/0/findings/default,86398,1199.913389198824
aflplusplus,libxml2,libxml2_xml_read_memory_fuzzer,110935359,1284.17,0,110935359,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/libxml2/libxml2_xml_read_memory_fuzzer/0/findings/default,86387,1284.167282114207
aflplusplus,libxml2,libxml2_xml_reader_for_file_fuzzer,67384553,780.17,0,67384553,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/libxml2/libxml2_xml_reader_for_file_fuzzer/0/findings/default,86371,780.1756723900384
aflplusplus,openssl,asn1,13083763,151.68,0,13083763,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/openssl/asn1/0/findings/default,86257,151.68349235424373
aflplusplus,openssl,asn1parse,87191035,1009.24,0,87191035,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/openssl/asn1parse/0/findings/default,86393,1009.2372645931962
aflplusplus,openssl,bignum,7929694,91.8,0,7929694,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/openssl/bignum/0/findings/default,86375,91.80542981186686
aflplusplus,openssl,client,12421464,144.04,0,12421464,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/openssl/client/0/findings/default,86237,144.03868409151525
aflplusplus,openssl,server,6808021,79.04,0,6808021,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/openssl/server/0/findings/default,86130,79.04355044699872
aflplusplus,openssl,x509,70556009,817.28,0,70556009,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/openssl/x509/0/findings/default,86331,817.2731579617982
aflplusplus,php,exif,21280040,246.31,0,21280040,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/php/exif/0/findings/default,86396,246.3081624149266
aflplusplus,php,json,21716428,251.36,0,21716428,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/php/json/0/findings/default,86396,251.35918329552294
aflplusplus,php,parser,21000769,243.4,0,21000769,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/php/parser/0/findings/default,86281,243.39969402301782
aflplusplus,php,unserialize,21748371,251.73,0,21748371,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/php/unserialize/0/findings/default,86397,251.72599743046632
aflplusplus,poppler,pdf_fuzzer,6907251,79.99,0,6907251,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/poppler/pdf_fuzzer/0/findings/default,86357,79.98484199312158
aflplusplus,sqlite3,sqlite3_fuzz,75141383,869.79,0,75141383,/home/huicongh/ContinuousFuzzBench/tools/captain/initial-corpus-final/ar/aflplusplus/sqlite3/sqlite3_fuzz/0/findings/default,86390,869.7926033105683
